Alias	DSP.1001250007851.H.A02	DSP.1001250007851.H.A03	DSP.1001250007851.H.A04	DSP.1001250007851.H.A05	DSP.1001250007851.H.A06	DSP.1001250007851.H.A07	DSP.1001250007851.H.A08	DSP.1001250007851.H.A09	DSP.1001250007851.H.A10	DSP.1001250007851.H.A11	DSP.1001250007851.H.A12	DSP.1001250007851.H.B01	DSP.1001250007851.H.B02	DSP.1001250007851.H.B03	DSP.1001250007851.H.B04	DSP.1001250007851.H.B05	DSP.1001250007851.H.B06	DSP.1001250007851.H.B07	DSP.1001250007851.H.B08	DSP.1001250007851.H.B09	DSP.1001250007851.H.B10	DSP.1001250007851.H.B11	DSP.1001250007851.H.B12	DSP.1001250007851.H.C01	DSP.1001250007851.H.C02	DSP.1001250007851.H.C03	DSP.1001250007851.H.C04	DSP.1001250007851.H.C05	DSP.1001250007851.H.C06	DSP.1001250007851.H.C07	DSP.1001250007851.H.C08	DSP.1001250007851.H.C09	DSP.1001250007851.H.C10	DSP.1001250007851.H.C11	DSP.1001250007851.H.C12	DSP.1001250007851.H.D01	DSP.1001250007851.H.D02	DSP.1001250007851.H.D03	DSP.1001250007851.H.D04	DSP.1001250007851.H.D05	DSP.1001250007851.H.D06	DSP.1001250007851.H.D07	DSP.1001250007851.H.D08	DSP.1001250007851.H.D09	DSP.1001250007851.H.D10	DSP.1001250007851.H.D11	DSP.1001250007851.H.D12	DSP.1001250007851.H.E01	DSP.1001250007851.H.E02	DSP.1001250007851.H.E03	DSP.1001250007851.H.E04	DSP.1001250007851.H.E05	DSP.1001250007851.H.E06	DSP.1001250007851.H.E07	DSP.1001250007851.H.E08	DSP.1001250007851.H.E09	DSP.1001250007851.H.E10	DSP.1001250007851.H.E11	DSP.1001250007851.H.E12	DSP.1001250007851.H.F01	DSP.1001250007851.H.F02	DSP.1001250007851.H.F03	DSP.1001250007851.H.F04	DSP.1001250007851.H.F05	DSP.1001250007851.H.F06	DSP.1001250007851.H.F07	DSP.1001250007851.H.F08	DSP.1001250007851.H.F09	DSP.1001250007851.H.F10	DSP.1001250007851.H.F11	DSP.1001250007851.H.F12	DSP.1001250007864.D.A02	DSP.1001250007864.D.A03	DSP.1001250007864.D.A04	DSP.1001250007864.D.A05	DSP.1001250007864.D.A06	DSP.1001250007864.D.A07	DSP.1001250007864.D.A08	DSP.1001250007864.D.A09	DSP.1001250007864.D.A10	DSP.1001250007864.D.B01	DSP.1001250007864.D.B02	DSP.1001250007864.D.B03	DSP.1001250007864.D.B04	DSP.1001250007864.D.B05	DSP.1001250007864.D.B06	DSP.1001250007864.D.B07	DSP.1001250007864.D.B08	DSP.1001250007864.D.B09	DSP.1001250007864.D.B10	DSP.1001250007864.D.B11	DSP.1001250007864.D.B12	DSP.1001250007864.D.C01	DSP.1001250007864.D.C02	DSP.1001250007864.D.C03	DSP.1001250007864.D.C04	DSP.1001250007864.D.C05	DSP.1001250007864.D.C06	DSP.1001250007864.D.C07	DSP.1001250007864.D.C08	DSP.1001250007864.D.C12	DSP.1001250007864.D.D01	DSP.1001250007864.D.D02	DSP.1001250007864.D.D03	DSP.1001250007864.D.D04	DSP.1001250007864.D.D05	DSP.1001250007864.D.D06	DSP.1001250007864.D.D07	DSP.1001250007864.D.D08	DSP.1001250007864.D.D09	DSP.1001250007864.D.D10	DSP.1001250007864.D.D11	DSP.1001250007864.D.D12	DSP.1001250007864.D.E01	DSP.1001250007864.D.E02	DSP.1001250007864.D.E03	DSP.1001250007864.D.E04	DSP.1001250007864.D.E05	DSP.1001250007864.D.E06	DSP.1001250007864.D.E07	DSP.1001250007864.D.E08	DSP.1001250007864.D.E09	DSP.1001250007864.D.E10	DSP.1001250007864.D.E11	DSP.1001250007864.D.E12	DSP.1001250007864.D.F01	DSP.1001250007864.D.F02	DSP.1001250007864.D.F03	DSP.1001250007864.D.F04	DSP.1001250007864.D.F05	DSP.1001250007864.D.F06	DSP.1001250007864.D.F07	DSP.1001250007864.D.F08	DSP.1001250007864.D.F09	DSP.1001250007864.D.F10	DSP.1001250007864.D.F11	DSP.1001250007864.D.F12	DSP.1001250007864.D.G01	DSP.1001250007864.D.G02	DSP.1001250007864.D.G03	DSP.1001250007864.D.G04	DSP.1001250007864.D.G05	DSP.1001250007864.D.G06	DSP.1001250007864.D.G07	DSP.1001250007864.D.G08	DSP.1001250007864.D.G09	DSP.1001250007864.D.G10	DSP.1001250007864.D.G11	DSP.1001250007864.D.G12	DSP.1001250007864.D.H01	DSP.1001250007864.D.H02	DSP.1001250007864.D.H03	DSP.1001250007864.D.H04	DSP.1001250007864.D.H05	DSP.1001250007864.D.H06	DSP.1001250007864.D.H07	DSP.1001250007864.D.H08	DSP.1001250007864.D.H09	DSP.1001250007864.D.H10	DSP.1001250007864.D.H11	DSP.1001250007864.D.H12	DSP.1001250007868.B.A02	DSP.1001250007868.B.A03	DSP.1001250007868.B.A04	DSP.1001250007868.B.A05	DSP.1001250007868.B.A06	DSP.1001250007868.B.A07	DSP.1001250007868.B.A08	DSP.1001250007868.B.A09	DSP.1001250007868.B.A10	DSP.1001250007868.B.A11	DSP.1001250007868.B.C01	DSP.1001250007868.B.C02	DSP.1001250007868.B.C03	DSP.1001250007868.B.C04	DSP.1001250007868.B.C05	DSP.1001250007868.B.C06	DSP.1001250007868.B.C07	DSP.1001250007868.B.C08	DSP.1001250007868.B.C09	DSP.1001250007868.B.C10	DSP.1001250007868.B.C11	DSP.1001250007868.B.C12	DSP.1001250007868.B.D01	DSP.1001250007868.B.D02	DSP.1001250007868.B.D03	DSP.1001250007868.B.D04	DSP.1001250007868.B.D05	DSP.1001250007868.B.D06	DSP.1001250007868.B.D07	DSP.1001250007868.B.D08	DSP.1001250007868.B.D09	DSP.1001250007868.B.D10	DSP.1001250007868.B.D11	DSP.1001250007868.B.D12	DSP.1002510007866.C.D10	DSP.1002510007866.C.D11	DSP.1002510007866.C.D12	DSP.1002510007866.C.E01	DSP.1002510007866.C.E02	DSP.1002510007866.C.E03	DSP.1002510007866.C.E04	DSP.1002510007866.C.E05	DSP.1002510007866.C.E06	DSP.1002510007866.C.E07	DSP.1002510007866.C.E08	DSP.1002510007866.C.E09	DSP.1002510007866.C.E10	DSP.1002510007866.C.E11	DSP.1002510007866.C.E12	DSP.1002510007866.C.F01	DSP.1002510007866.C.F02	DSP.1002510007866.C.F03	DSP.1002510007866.C.F04	DSP.1002510007866.C.F05	DSP.1002510007866.C.F06	DSP.1002510007866.C.F07	DSP.1002510007866.C.G10	DSP.1002510007866.C.G11	DSP.1002510007866.C.G12	DSP.1002510007866.C.H01	DSP.1002510007866.C.H03	DSP.1002510007866.C.H04	DSP.1002510007866.C.H05	DSP.1002510007866.C.H06	DSP.1002510007866.C.H07	DSP.1002510007866.C.H08	DSP.1002510007866.C.H09	DSP.1002510007866.C.H10	DSP.1002510007866.C.H11	DSP.1002510007866.C.H12
8T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101011456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010985127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.299930381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174737663	0	0.105549835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AV1	4.590400991	4.066220938	5.240171593	5.246793756	3.507029991	3.368339375	4.819090598	3.342649537	3.749759893	4.334017106	4.269220737	2.685673355	3.831534584	3.243413946	3.672346931	4.116380019	3.779111328	2.676066493	3.237046599	1.991791512	3.402582158	3.573755339	2.708702558	2.49930231	4.14046215	3.695858411	4.321318439	3.741089167	4.467640554	4.153523644	4.629465444	4.296532866	4.86417316	4.514464176	4.722800037	4.506907	1.651220148	5.069898122	2.851402166	5.715928218	4.773215042	2.7068595	5.757221024	4.386695018	7.15000946	3.818546231	5.396285142	0.831768313	0.287053402	0.603089486	0.613045435	1.150187829	0.449783645	0.847891593	0.96450267	1.223252841	2.003638195	1.220630759	1.369564808	0.788482516	1.35283134	1.301408415	1.741228661	1.33210609	1.162307244	1.193089872	1.377643042	1.121318013	0.596410274	0.598404565	2.856941856	0.57965516	1.510339622	0.678892277	1.789527122	0.447077602	1.88115613	0.742571131	1.30867615	0.352664119	1.114686041	2.893860588	3.203582675	1.576906231	3.454775875	3.319698644	2.645017466	3.319156897	1.871638458	2.385266823	2.772914395	2.984515372	1.323043812	3.809268234	2.376475463	2.569222395	2.098668698	2.520975266	4.156513603	1.06240291	1.153643646	1.140378466	2.896823841	1.31812211	1.987829701	1.125729801	2.947643877	1.834296119	1.686867513	2.827079919	1.966180387	1.956243665	3.947845746	1.939126858	0.86860977	1.607084799	1.150328369	0.610064712	2.652518457	3.092493364	1.45720218	2.383937908	4.551839071	1.188108229	2.758125081	2.833182154	0.662583194	1.489853578	0.776621167	1.10865386	0.594490852	1.210284032	1.042818026	1.702058557	0.855286338	1.09030657	1.105720204	1.112986263	3.533455092	6.021356181	4.015371415	3.389527693	5.611945032	3.656253483	4.363647392	1.589770509	3.409486949	4.746946852	2.349279686	0.891682916	0.975424538	1.073554778	1.468572111	0.900997392	1.3327586	0.827383282	1.911808777	0.731336028	1.810098155	1.460512172	1.56278736	0	0.72347809	0.739018586	0.486491368	0	0.201753961	0.528112174	0.179128031	0	0	0.746301854	1.23182139	0.501593355	0.457359415	0.430847582	0.505594613	0	0.970654256	0.116750383	1.31898874	0.221907019	0.455337991	4.218869379	6.12611517	2.578388082	4.476868167	4.32101938	4.619119242	0.751986366	4.062984411	5.18463027	4.932135621	3.585923803	3.848581476	0.111095479	0.564870051	0	0.920368554	0.496391359	1.079742136	0	0.618993242	0.55176928	0.541465523	0.10399675	0.812770505	3.424691249	1.619361603	2.453959987	5.142189069	3.691565274	2.096525431	3.385312359	0.805289969	3.5984081	2.690202448	0.178338553	0.086188562	0.064511638	0.247940738	0.439162559	0.0034957	0.597165556	0.063446434	0.307367116	0	0.126917075	0	2.616965474	3.187176667
AV2	1.210882419	0.430753094	1.388941848	0.809892197	2.309727978	1.269551566	1.387184772	1.18114061	0.926025785	1.210280932	1.009287557	1.299305046	0.671597652	1.400627556	0.462537659	0.743218627	1.004177278	0.938709589	1.200503559	1.295224714	0.936562919	0.97922598	1.028885947	0.964051585	0.574311251	1.585089684	1.018462255	1.198932939	0.87036156	0.778907529	0.706634218	1.119744383	0.66490065	1.591965906	1.048888133	1.557451123	0.932116175	0.564689007	1.440864957	0.837863893	0.650918993	0.897610175	1.360954759	1.361499539	0.673611018	0.977556051	1.137898046	0.211017042	2.090103951	0	0.968496539	0	1.392404634	0	0.67844781	0.076758029	1.56674339	0	1.572525466	0.171763355	0.579158825	0.275077681	0.268480279	0.298695404	0.802175549	0.911784822	1.593269082	0.308544339	0.256232569	0.379661652	1.058411392	0	0	0	0	0	0.555831544	0	0	0	0	0.157392471	0.082625569	0.424666525	0.029202988	0.335462894	0	0	0	0.100640966	0.211570317	0.306415196	0.394534707	0	0.121967517	0.232324469	0.198050329	0.004621	0	0	0.380209895	0	0	0.003468035	0	0.118088713	0	0.031413477	0.159681966	0.066084676	0.080245937	0.301241566	0	0	0	0	0.150480409	0	0.285899726	0.274862154	0.510810433	0	0	0.114262389	0	0.033136827	0	0	0	0.21273929	0	0.475374739	0	0.312294609	0	0.269821892	0.086467449	0.563982803	0	1.73530961	0.202192924	0.776593941	0.263583377	0.460036229	0.376059627	0	0.777390131	0.191771395	1.011472115	0	0.688907849	0.029993726	0.949182502	0.5029479	0.868561334	0.249604908	1.493055728	0.240209756	1.58482669	0.193737662	0.442529466	0.449858323	0.302612837	0	0.765619453	0.274147603	0.2444518	0.055494662	0.588600541	0.49676497	0.063035175	0	0.038717359	0	0.312734733	0	0.272325667	0	0	0	0.395459533	0	1.014003003	0	0.539537081	0.185110952	0.785699105	0.078295815	0.415947342	0.408419512	1.187539498	0.679095823	0.737457713	0.640953409	1.486805855	0	0.371626357	0	0.620440432	0	0.137686143	0	1.072634184	0	0.545432687	0	0.312873282	1.072796347	1.324963141	0.81055544	0.501273972	0.642219808	1.44613531	0.934737514	1.548426446	0.320802528	3.215042555	0	0.662765137	0	0	0	0.5773785	0	0.53936963	0.43163448	0.739729985	0	0.363104701	0	0.452163228
B	0.135515222	0.372140155	0.386017921	0.430380608	0.291573611	0.449764109	0.410216755	0.392818402	0.418153629	0.289183103	0.373532291	0.249230703	0.304500926	0.562064696	0.220906568	0.439134527	0.602476119	0.57056014	0.379438252	0.237706649	0.155700373	0.341577216	0.300192014	0.257731757	0.285560511	0.204472649	0.622475279	0.314742104	0.475167383	0.412024559	0.640794766	0.461365447	0.078407333	0.389137563	0.508756197	0.636839148	0.333214201	0.272792237	0.330832833	0.407544604	0.35959534	0.316191132	0.432601949	0.55644402	0.684883059	0.47330355	0.389669905	0	0	0	0	0.015930066	0.247224813	0.041195153	0.113646748	0.308197464	0.183874928	0.172350384	0.125873328	0	0.337867146	0	0	0	0.062872776	0	0	0	0	0	0.000936344	0	0	0	0	0	0	0.048361172	0	0	0.096280869	0	0	0	0	0.015479676	0	0.001052505	0	0	0	0	0	0	0.044314189	0.472869709	0	0	0	0	0	0.06695656	0	0.033944456	0	0	0	0	0.084685179	0.015892643	0	0	0	0	0	0	0	0	0.398362834	0.295753452	0.427184656	0	0	0	0	0	0	0	0	0	0	0	0	0.302765084	0	0.021334202	0	0.002117919	0	0	0.214426183	0	0	0	0	0.016049238	0	0	0	0.165366967	0.429077711	0.160136318	0.44246831	0.310115046	0.44002805	0.279019026	0.394471719	0.513798363	0.66852204	0.376579013	0.39544398	0.086672316	0.061685511	0.013804175	0	0.124599917	0.122600526	0.138538194	0.050872846	0.177847904	0.231343508	0	0	0	0	0	0	0	0	0	0	0	0.104677815	0	0	0	0	0.051148624	0	0	0	0.017312193	0.025778139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047436057	0	0	0.044887037	0.339082319	0.265668671	0.488042743	0	0.310699021	0.194934962	0.337677299	0	0	0.078275321	0
C1	0.03014338	0	0	0	0	0	0	0	0	0	0	0	0	0.016172636	0	0.004177277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109694193	0.09457668	0.130130442	0.018162785	0	0	0	0	0	0	0	0	0	4.769630993	2.048841734	3.054894902	1.067653597	0.563326024	0.196365504	0.082445755	0.344868089	0.067983307	0	0.239274614	0	0.148379574	0.045068208	0	0	0.052052972	0	0	0	0.313869216	0	0.008912821	0	2.075589281	2.237623553	6.138417571	3.833261336	0.748095541	0.536740826	0.935621563	1.600522437	8.65827478	1.247313227	0.078882796	0	0.065551836	0.04415582	0.005595936	0	0.020152185	0	0	0	0.060949068	0	0	0	0	0	0	0	0	0	0	0.14973712	0	0	0	0	0	0	0	0.114671071	0	0	0.09344097	0.215077177	0	0	0	0	0	0	0	0	0	0	0.016849346	3.077898665	0.374873416	1.863059128	1.20137384	1.710529204	1.531533218	0.822333164	0.44766977	2.145873633	0.834765342	1.964625696	0.603006596	0.316371295	0	0	0.01120191	0	0	0	0	0.118547731	0	0	1.319502422	0.141305045	0.34607139	0.215767533	1.043604398	0.043822325	0.259582602	0	0.416078889	0	0.667088891	0.067709644	0	0	0	0.169119262	0	0	0	0	0	0	0	0	1.100409049	0.161676649	0.220276889	0.112532797	3.153414415	0.388408342	0.105657848	0	6.241035902	2.938335567	0	0	0	0	0.029652995	0	0	0	0	0	0	0	1.767578015	1.484854407	0.034140774	0.839088808	2.784465373	2.47315073	3.584194705	1.391385413	3.084436308	1.44289107	3.122086379	1.322378649	0.030270233	0	0.000262747	0.1126784	0.125410599	0	0	0.016003036	0	0	0.488270881	0.324205624	0.409122454	0.384391772	0.770514816	0.480508293	0.155004326	0.354293603	0.895728908	0.051872337	0.188008424	0.290077029	0.230237761	0
C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044833758	0	0	2.457947373	0	0.052591325	0	0.583821862	0.010503964	3.047976314	0	0.158013611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.751672488	0.336401939	1.913343416	0.18984134	3.506248516	0.48751112	2.693136803	0.118203491	3.626152277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.087133566	0	0	0	0.190223381	0	0.271879228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189430308	0	0.143651986	0	0.888431737	0	1.133407138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D	0.013245922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038896255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06523021	0	0.075109449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.41672346	1.276303903	14.10562946	1.221013321	5.04689551	0.064326853	14.37705662	0.906904837	0	0	2.867355504	0	0.095229117	0	0.085370665	0	0	0	0	0	0.350731055	0.124190143	0	0	24.53411063	3.346187399	22.65282339	1.899202304	20.90274548	0.44544292	22.54787469	1.024533187	21.37840732	0.03827636	0	0	0.290759384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019045615	0	0	0.072343703	0	0	0	0	0	0	0	0	0.060809459	0	0	0.003555002	0	0	0	0	0	0	0	0.14137086	0.227880662	13.54421275	0.411802022	16.3535845	1.694687401	18.49156227	1.233056966	16.6395511	0.966803829	17.67158976	0.781027126	16.8469219	1.796608576	0.474097054	0	0	0.061775667	0	0	0.109512057	0.039233584	0	0	0	4.593116528	0.017234096	5.974301191	0.081162792	2.793550824	0	1.380625048	0	1.115876695	0	3.95535948	0	0	0	0	0	0	0.02834875	0	0.136635662	0	0	9.514927416	0.279871771	14.97353811	0.191591788	16.01426986	0.143782635	9.759547159	0.354763265	22.82956042	0.110925732	15.71458676	0.701086028	0	0	0	0	0.002277238	0	0	0	0	0	0	0	7.141688845	0.348647798	0.24653013	0.603525381	20.90189117	1.326468145	22.1287594	0.439546324	21.95524452	1.419717647	19.78235667	1.258321827	0	0	0.036693441	0	0.029904703	0	0.007952607	0	0.123384453	0	4.340041464	0.082827712	10.14624252	0.170166019	7.804072288	0.245860841	3.711024945	0.074370888	4.078127408	0	1.131601101	0.160303612	0.492211927	0
DV	3.563224418	2.573072466	3.921666638	3.768661438	5.08999872	1.925553802	4.269948979	3.262894015	3.276837496	3.663777648	3.317625141	3.815793309	3.680750714	3.798441333	4.699981541	3.724839169	3.454766921	4.567350174	3.701335942	2.290647785	4.965050206	3.814028056	4.193004763	4.449330049	5.491064241	4.233245256	3.180870618	3.16284319	5.056856983	3.819618548	3.145217221	3.271025332	2.710563196	2.768690877	2.792690838	4.061275799	2.768756704	3.465921482	4.67363821	3.211872049	2.753182181	4.796546841	4.079724114	2.642256794	3.477689321	4.555995153	3.541408245	0.034920872	0.18157824	0.059616167	0.219594816	0.086583357	0.225272069	0.010387035	0.529844312	0.319908928	0.100181984	0	0.097166233	1.657781103	3.201366397	1.804522101	1.145077495	1.429763629	4.29488891	2.551734346	2.263012234	1.775047594	1.615198484	1.700864737	1.760834407	0.06196583	0.130964632	0.01793353	0.024543145	0.194308388	0.034379133	8.78E-05	0.21687591	0.088139859	0.153820062	8.352832794	6.655753663	6.489894502	6.907785733	8.650009391	8.889485382	5.985892255	9.646677958	8.084780202	8.810097225	7.583704019	6.023232651	6.185349622	6.614724091	7.257963623	6.296034868	4.479140634	4.267593854	6.06538889	5.831751218	5.883147	6.652316186	6.230345521	7.036104271	5.19914273	7.97208979	5.387612563	6.62110333	9.662040059	7.384885551	6.757533978	6.56159491	8.549888375	7.011669051	6.559130032	5.832518941	7.490954176	8.080105583	8.191870351	7.386523213	9.431418784	6.848569861	7.926209479	6.768758868	7.88731695	0.15012972	0.092686909	0.188520632	0.365266149	0.122652116	0.202209326	0.154866412	0.10992629	0.005891505	0.227979363	0	0.229404666	3.635232353	5.421637687	5.729482355	5.791765222	5.22292331	4.260491237	5.478217624	4.039006436	4.36967724	3.540693586	5.335370217	0.173843703	0.20053972	0.105544875	0	0.130999989	0.14551628	0.130241418	0	0.20743115	0.0327351	0.095403965	0.147151175	3.144081938	2.864017018	3.006036614	2.901248404	0.117199346	0.099835584	0.313051796	0.581053194	0.395545127	0.309925099	0	0	0	0	0.041708389	0	0	0	0	0.003960154	0	0	4.907113219	4.48318297	3.603414618	3.66186537	2.50925265	4.91909179	2.997789497	3.42126441	3.555588226	2.386029112	1.886275768	3.224281655	0.147239006	0.136389563	0	0.000580935	0.000146879	0.169297926	0	0.067990325	0	0.214780339	0	0.034466876	5.939304368	6.033935795	5.573926914	4.936006066	6.05523096	7.222405619	5.850086018	5.026194106	1.020135481	4.788746153	0.188179057	0	0.03828583	0	0.018219762	0.128170279	0	0.100271515	0	0	0.206224179	0.168822174	3.580428836	3.0764198
G	1.687067015	4.02839539	3.155019893	3.06097219	2.341710814	2.148198109	2.285266674	5.512347479	4.454234424	1.655233546	3.030538011	1.382679632	2.409470803	2.703995086	2.608639419	1.786060937	2.36347004	1.989507956	3.09903115	1.305073671	2.871783221	1.721660136	2.094241241	3.188409862	3.24920952	3.444476375	3.600577715	3.472111142	3.242393047	3.967743888	3.250598252	2.920232522	1.329823179	1.096807986	2.373739603	2.564483521	2.396668402	2.49253949	2.54552575	2.153825569	4.142069957	2.242599651	3.42436873	3.058249236	3.951260935	2.859404894	3.995968267	0	0	0	0	0	0	0	0	0	0	0	0	2.021663934	2.427092754	1.045234002	2.081702112	2.753154545	2.481811296	2.518369851	2.626431283	2.030060147	1.035571481	1.570234112	2.745817353	0	0	0	0	0	0	0	0	0	0	6.639539808	6.642988833	4.955238858	5.590206977	7.207687859	7.4338915	6.561174162	6.129889953	6.477984428	6.296610983	6.792417748	4.428492127	7.20026292	5.148314546	4.258388033	4.322772764	4.931163397	5.193834134	5.975756735	3.709798145	5.160563913	4.117518382	4.337812283	5.027997163	4.591551376	5.090452941	3.379845237	5.167369312	7.176555844	3.961824065	5.862577767	7.195006457	6.569012998	4.221363672	6.840070037	4.055598833	5.656816288	4.699885888	5.424825256	3.912195691	6.564530371	5.901921449	5.842769717	4.977597071	4.266964855	0	0	0	0	0	0	0	0	0	0	0	0	5.197982897	6.434478745	5.294293315	5.786828686	6.329095257	6.456592813	6.091850507	5.892522891	5.230931878	5.143205118	5.379676997	0	0	0	0	0	0	0	0	0	0	0	0	1.465345648	2.108658197	1.682463346	1.623984309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.487615843	6.003833503	5.875529217	4.001109983	3.839664811	5.535992678	1.658724965	2.914450231	2.987563553	2.918281816	1.102566495	1.073390446	0	0	0	0	0	0	0	0	0	0	0	0	7.267890915	5.864361086	5.946840071	6.265326051	6.778934776	5.660236394	5.362598245	5.458511001	6.117983599	7.927405909	0	0	0	0	0	0	0	0	0	0	0	0	0.756042146	2.672877721
GE	1.102573181	1.663471125	1.988343078	1.20249126	1.754423639	1.855879292	1.734632492	1.409210929	1.90444942	1.820618376	1.024907316	1.972618162	1.663998065	1.947758575	1.561932303	1.734625722	1.57358208	1.001631592	1.867986957	1.501339722	1.599967373	1.55744619	2.282504865	1.603385905	1.786613335	2.041114348	1.64914467	2.240301256	1.130234314	1.481993486	1.964739623	1.730955883	1.337438283	1.303644201	1.176984619	1.226838419	0.736731307	1.105185833	1.737114818	1.980365084	1.300518231	1.177907242	0.781040965	1.504682645	0.951122196	1.641549942	1.378114096	0.302823767	0.100025022	0.223743299	0.107103953	0.248616526	0.131270423	0	0.087196569	0.277260468	0	0.085016679	0	0.670950851	0.796133263	0.478513742	0.438837469	0.421609703	0.860568232	0.5087278	1.668232311	0.564490724	0.587618254	0.216931771	0.745441264	0	0	0	0.217099673	0.149423166	0.380302025	0	0.327134177	0	0.003631652	1.501578526	1.56224854	2.076508674	1.458180823	0.708795003	1.574506977	1.489215378	1.916049316	1.674083592	1.153448672	1.036797771	1.501712678	0.934004654	1.810099068	1.894234065	1.691572141	1.34260236	1.870680171	1.167074908	1.101215209	1.465088987	0.560049196	1.794157093	1.015875364	1.328321762	0.567293069	1.813921816	1.988093472	0.904534075	1.053880141	0.500022652	1.572983019	1.686839154	1.547654407	1.881416447	1.465977916	0.821387681	1.733956292	1.213189322	2.312694809	1.101133728	2.097733605	1.810494417	1.369912757	1.740543348	0	0.409508211	0.305201774	0.298791666	0.101349198	0.312346188	0.107162744	0.148356297	0.008891891	0.240842792	0	0.207698501	1.474097326	0.901040724	1.700965179	0.693097256	1.150739467	1.37594753	0.814838409	1.152203061	0.486877174	0.912378291	1.93614008	0.614710252	0.678447736	0.389881346	0.710397426	0.570911969	0.90807911	0.588156395	1.068909339	0.521641461	0.651446764	0.568841551	0.608053188	0.963042483	0.993209298	0.780406711	0.459733995	0.058611966	0.633128684	1.190574364	0	0.975177289	0.211811307	0	0.235410984	0	0.306122614	0	0.672202548	0	0.361224566	0	0.596661716	0	0.504700096	0.599754014	0.514512064	0.606497204	0.734584625	0.851689683	0	0.851842995	0.660055704	0.438328924	1.014595878	0.595186734	0.575783241	0.08792971	0	0.034548242	0	0	0	0	0.227500869	0	0	0	0.023683774	0.90337475	1.908756594	1.676532606	1.191248185	1.328611257	2.03071864	1.00359332	0.827448285	1.751053078	1.769431274	0.287667726	0.374794062	0.429316859	0.070483656	0	0.340170029	0.078004883	0.267193977	0.178233921	0.45703784	0.690707008	0.314790029	0.807940442	0.91015367
